,DAUDI,EHEB,JK-6,LB5871-LYMP,MEC-1,OCI-LY1,RI-1,WSU-DLCL,WSU-NHL
2-D1-L1-HC,4245.0,1787.0,12028.0,290.0,5200.0,402.0,1460.0,600.0,174.0
2-D1-L2-HC,5214.0,2040.0,13951.0,304.0,5949.0,448.0,1791.0,716.0,184.0
2-D1-L3-HC,4805.0,1959.0,12475.0,282.0,5603.0,398.0,1705.0,625.0,173.0
2-D2-L1-HC,479.0,229.0,1521.0,30.0,595.0,33.0,165.0,74.0,17.0
2-D2-L2-HC,590.0,228.0,1617.0,28.0,735.0,46.0,256.0,88.0,17.0
2-D2-L3-HC,580.0,238.0,1495.0,37.0,695.0,47.0,209.0,65.0,21.0
2-D3-L1-HC,62.0,11.0,138.0,4.0,71.0,6.0,20.0,11.0,
2-D3-L2-HC,56.0,27.0,135.0,2.0,80.0,9.0,21.0,9.0,
2-D3-L3-HC,68.0,23.0,153.0,3.0,66.0,2.0,17.0,5.0,2.0
2-D4-L1-HC,6.0,1.0,21.0,,8.0,1.0,4.0,1.0,
2-D4-L2-HC,9.0,4.0,13.0,,8.0,1.0,4.0,,
2-D4-L3-HC,10.0,3.0,13.0,1.0,6.0,1.0,3.0,,1.0
2-D5-L1-HC,,,,1.0,3.0,,,,
2-D5-L2-HC,,,3.0,1.0,2.0,,,,
2-D5-L3-HC,,,2.0,,,,,,
2-MME-L1-HC,20423.0,10263.0,55124.0,1494.0,26338.0,1531.0,7176.0,2890.0,972.0
2-MME-L2-HC,20450.0,10706.0,55922.0,1529.0,25712.0,1529.0,7412.0,2913.0,894.0
2-MME-L3-HC,21393.0,10183.0,57667.0,1479.0,26938.0,1579.0,7609.0,3159.0,915.0
2-PBMC-L1-HC,,,,,,,,,
2-PBMC-L2-HC,,,,,,,,,
2-PBMC-L3-HC,,,,,,,,,
3-D1-L1-HC,10891.0,5601.0,59020.0,604.0,11620.0,766.0,7235.0,7256.0,582.0
3-D2-L1-HC,2532.0,1316.0,15750.0,141.0,2762.0,164.0,1446.0,1656.0,149.0
3-D3-L1-HC,300.0,133.0,1703.0,12.0,298.0,24.0,171.0,237.0,17.0
3-D4-L1-HC,24.0,4.0,138.0,1.0,35.0,2.0,13.0,12.0,1.0
3-D5-L1-HC,4.0,2.0,16.0,,5.0,,1.0,3.0,
3-MMC-L1-HC,22327.0,12562.0,108339.0,1514.0,25350.0,1679.0,12514.0,16127.0,1257.0
3-PBMC-L1-HC,,,,,,,,,
